Sub Topic,Question,Answer
Half-life of a Reaction,The following results have been obtained during the kinetic studies of the reaction:  2A + B Ã¢â€ ’ C + D  Experiment  A/ mol L - 1  B/ mol L - 1  Initial rate of formation of D/mol L - 1 min - 1  I  0.1  0.1  6.0 × 10 - 3        II  0.3  0.2  7.2 × 10 - 2  III  0.3  0.4  2.88 × 10 - 1  IV  0.4  0.1  2.40 × 10 - 2  Determine the rate law and the rate constant for the reaction.,"Let the order of the reaction with respect to A be xand with respect to B be y.  Therefore, rate of the reaction is given by,    According to the question,    Dividing equation (iv) by (i), we obtain    Dividing equation (iii) by (ii), we obtain          Therefore, the rate law is  Rate = k [A] [B]2    From experiment I, we obtain    = 6.0 L2mol - 2min - 1  From experiment II, weobtain    = 6.0 L2mol - 2min - 1  From experiment III, we obtain    = 6.0 L2mol - 2min - 1  From experiment IV, we obtain    = 6.0 L2mol - 2min - 1  Therefore, rate constant, k = 6.0 L2mol - 2min - 1"
Temperature Dependence of the Rate of a Reaction,Calculate the half-life of a first order reaction from their rate constants given below:  (i) 200 s-1 (ii) 2 min-1 (iii) 4 years-1,"(i) Half life,      = 3.47 ×10 -3 s (approximately)  (ii) Half life,      = 0.35 min (approximately)        (iii) Half life,      = 0.173 years (approximately)"
Temperature Dependence of the Rate of a Reaction,The experimental data for decomposition of N2O5    in gas phase at 318K are given below:  t(s)  0  400  800  1200  1600  2000  2400  2800  3200    1.63  1.36  1.14  0.93  0.78  0.64  0.53  0.43  0.35  (i) Plot [N2O5] against t.        (ii) Find the half-life period for the reaction.  (iii) Draw a graph between log [N2O5] and t.  (iv) What is the rate law?  (v),"(ii) Time corresponding to the concentration,  is the half life. From the graph,  the half life is obtained as 1450 s.  (iii)  t(s)      0  1.63  - 1.79  400  1.36  - 1.87  800  1.14  - 1.94  1200  0.93  - 2.03  1600  0.78  - 2.11  2000  0.64  - 2.19  2400  0.53  - 2.28  2800  0.43  - 2.37  3200  0.35  - 2.46          (iv) The given reaction is of the first order as the plot,   v/s t, is a straight line. Therefore, the rate law of  the reaction is    (v) From the plot,   v/s t, we obtain    Again, slope of the line of the plot   v/s t is given by  .  Therefore, we obtain,"
Collision Theory of Chemical Reactions,A first order reaction takes 40 min for 30% decomposition. Calculate t1/2.,"For a first order reaction,      Therefore, t1/2of the decomposition reaction is    = 77.7 min (approximately)"
Collision Theory of Chemical Reactions,"For the decomposition of azoisopropane to hexane and nitrogen at 543 K, the following data are obtained.  t (sec)  P(mm of Hg)  0  35.0  360  54.0  720  63.0  Calculate the rate constant.","The decomposition of azoisopropane to hexane and nitrogen at 543 K is represented by the following equation.          After time, t, total pressure,      = 2P0 - Pt  For a first order reaction,    When t = 360 s,    = 2.175 × 10 - 3 s - 1  When t = 720 s,    = 2.235 × 10 - 3 s - 1  Hence, the average value of rate constant is    = 2.21 × 10 - 3 s - 1  Note: There is a slight variation in this answer and the one given in the NCERT textbook."
Collision Theory of Chemical Reactions,The following data were obtained during the first order thermal decomposition of SO2Cl2at a constant volume.    Experiment  Time/s - 1  Total pressure/atm  1  0  0.5  2  100  0.6  Calculate the rate of the reaction when total pressure is 0.65 atm.,"The thermal decomposition of SO2Cl2at a constant volume is represented by the following equation.          After time, t, total pressure,      Therefore,    = 2 P0 - Pt  For a first order reaction,    When t= 100 s,    = 2.231 × 10 - 3s - 1  When Pt= 0.65 atm,  P0+ p= 0.65  ⇒ p= 0.65 - P0  = 0.65 - 0.5  = 0.15 atm  Therefore, when the total pressure is 0.65 atm, pressure of SOCl2is  = P0 - p  = 0.5 - 0.15  = 0.35 atm  Therefore, the rate of equation, when total pressure is 0.65 atm, is given by,  Rate = k( )  = (2.23 × 10 - 3s - 1) (0.35 atm)  = 7.8 × 10 - 4atm s - 1"
Collision Theory of Chemical Reactions,      The rate constant for the decomposition of N2O5 at various temperatures is given below:  T/°C  0  20  40  60  80    0.0787  1.70  25.7  178  2140  Draw a graph between ln k and 1/T and calculate the values of A and Ea.  Predict the rate constant at 30 º and 50 ºC.,"From the given data, we obtain  T/°C  0  20  40  60  80  T/K  273  293  313  333  353    3.66×10 - 3  3.41×10 - 3  3.19×10 - 3  3.0×10 - 3  2.83 ×10 - 3    0.0787  1.70  25.7  178  2140  ln k  - 7.147  - 4.075  - 1.359  - 0.577  3.063    Slope of the line,    According to Arrhenius equation,          Again,        When  ,    Then,      Again, when  ,"
Collision Theory of Chemical Reactions,Consider a certain reaction A → Products with k = 2.0 x 10-2 s-1. Calculate the concentration of A remaining  after 100 s if the initial concentration of A is 1.0 mol L-1.,"k= 2.0 × 10 - 2s - 1  T= 100 s  [A]o= 1.0 moL - 1  Sincethe unit of kis s - 1, the given reaction is a first order reaction.  Therefore,            = 0.135 mol L - 1(approximately)  Hence, the remaining concentration of A is 0.135 mol L - 1."
Collision Theory of Chemical Reactions,The decomposition of hydrocarbon follows the equation  k = (4.5 x 1011 s-1) e-28000 K/T  Calculate Ea.,"The given equation is  k = (4.5 × 1011 s - 1) e - 28000 K/T (i)  Arrhenius equation is given by,   (ii)  From equation (i) and (ii), we obtain    = 8.314 J K - 1mol - 1× 28000 K  = 232792 J mol - 1  = 232.792 kJ mol - 1"
Collision Theory of Chemical Reactions,The rate constant for the first order decomposition of H2O2is given by the following equation:  log k = 14.34 - 1.25 x 104 K/T        Calculate Eafor this reaction and at what temperature will its half-period be 256 minutes?,"Arrhenius equation is given by,      The given equation is    From equation (i) and (ii), we obtain    = 1.25 × 104K × 2.303 × 8.314 J K - 1mol - 1  = 239339.3 J mol - 1 (approximately)  = 239.34 kJ mol - 1  Also, when t1/2= 256 minutes,    = 2.707 × 10 - 3min - 1  = 4.51 × 10 - 5s - 1  It is also given that, log k= 14.34 - 1.25 × 104K/T          = 668.95 K  = 669 K (approximately)"
Collision Theory of Chemical Reactions,The time required for 10% completion of a first order reaction at 298 K is  equal to that required for its 25% completion at 308 K. If the value of A is  4 x 1010 s-1. Calculate k at 318 K and Ea.,"For a first order reaction,    At 298 K,      At 308 K,      According to the question,    From Arrhenius equation, we obtain          To calculate k at 318 K,  It is given that,    Again, from Arrhenius equation, we obtain"
Collision Theory of Chemical Reactions,The rate of a reaction quadruples when the temperature changes from  293 K to 313 K. Calculate the energy of activation of the reaction assuming  that it does not change with temperature.,"From Arrhenius equation, we obtain          Hence, the required energy of activation is 52.86 kJmol - 1."
Electronic Configurations of the d-Block Elements,Calculate the 'spin only' magnetic moment of M2+ (aq) ion (Z = 27).,"Z = 27   [Ar] 3d7 4s2   M2+ = [Ar] 3d7  3d7 =    i.e., 3 unpaired electrons   n = 3    ÃŽÂ¼ Ã¢â€°Ë† 4 BM"
The Actinoids,"Calculate the number of unpaired electrons in the following gaseous ions: Mn3+, Cr3+, V3+ and Ti3+. Which one  of these is the most stable in aqueous solution?",Gaseous ions  Number of unpaired electrons  (i)    4  (ii)    3  (iii)    2  (vi)    1  Cr3+is the most stable in aqueous solutions owing to a  configuration.
The Actinoids,Use Hund's rule to derive the electronic configuration of Ce3+ ion and calculate its magnetic moment on the  basis of 'spin-only' formula.,"Magnetic moment can be calculated as:    Where,  n = number of unpaired electrons  The electronic configuration of Ce3+ : 1s22s22p63s23p63d104s24p64d105s25p64f1  In Ce3+, n = 1  ∴ ÃŽÂ¼ = 1 ( 1 +2 )------"
Isomerism in Coordination Compounds,"Calculate the overall complex dissociation equilibrium constant for the Cu(NH3)4 2+ ion, given that ÃŽÂ²4 for  this complex is 2.1 x 1013.","ÃŽÂ²4 = 2.1 × 1013  The overall complex dissociation equilibrium constant is the reciprocal of the overall stability constant, ÃŽÂ²4.      << Previous Chapter 8 : The d-and f-Block ElementsNext Chapter 10 : Haloalkanes and Haloarenes >>   Exercise : Solutions of Questions on Page Number : 258"
